0.01000, -0.3995, -32.82
0.02000, -0.3990, -14.03
0.03000, -0.3985, -9.024
0.04000, -0.3980, -6.875
0.05000, -0.3975, -5.652
0.06000, -0.3970, -4.871
0.07000, -0.3965, -4.301
0.08000, -0.3960, -3.872
0.09000, -0.3955, -3.591
0.1000, -0.3950, -3.311
0.1100, -0.3945, -3.059
0.1200, -0.3940, -2.894
0.1300, -0.3935, -2.735
0.1400, -0.3930, -2.612
0.1500, -0.3925, -2.478
0.1600, -0.3920, -2.368
0.1700, -0.3915, -2.254
0.1800, -0.3910, -2.172
0.1900, -0.3905, -2.108
0.2000, -0.3900, -2.015
0.2100, -0.3895, -1.978
0.2200, -0.3890, -1.894
0.2300, -0.3885, -1.843
0.2400, -0.3880, -1.775
0.2500, -0.3875, -1.702
0.2600, -0.3870, -1.651
0.2700, -0.3865, -1.610
0.2800, -0.3860, -1.531
0.2900, -0.3855, -1.512
0.3000, -0.3850, -1.448
0.3100, -0.3845, -1.418
0.3200, -0.3840, -1.374
0.3300, -0.3835, -1.339
0.3400, -0.3830, -1.337
0.3500, -0.3825, -1.317
0.3600, -0.3820, -1.283
0.3700, -0.3815, -1.280
0.3800, -0.3810, -1.241
0.3900, -0.3805, -1.199
0.4000, -0.3800, -1.182
0.4100, -0.3795, -1.175
0.4200, -0.3790, -1.186
0.4300, -0.3785, -1.179
0.4400, -0.3780, -1.149
0.4500, -0.3775, -1.103
0.4600, -0.3770, -1.113
0.4700, -0.3765, -1.132
0.4800, -0.3760, -1.092
0.4900, -0.3755, -1.098
0.5000, -0.3750, -1.087
0.5100, -0.3745, -1.055
0.5200, -0.3740, -1.047
0.5300, -0.3735, -1.036
0.5400, -0.3730, -1.006
0.5500, -0.3725, -0.9818
0.5600, -0.3720, -1.010
0.5700, -0.3715, -1.002
0.5800, -0.3710, -0.9771
0.5900, -0.3705, -0.9907
0.6000, -0.3700, -0.9573
0.6100, -0.3695, -0.9485
0.6200, -0.3690, -0.9246
0.6300, -0.3685, -0.9303
0.6400, -0.3680, -0.9287
0.6500, -0.3675, -0.8822
0.6600, -0.3670, -0.8869
0.6700, -0.3665, -0.8618
0.6800, -0.3660, -0.8353
0.6900, -0.3655, -0.7903
0.7000, -0.3650, -0.7774
0.7100, -0.3645, -0.7835
0.7200, -0.3640, -0.7430
0.7300, -0.3635, -0.7355
0.7400, -0.3630, -0.7200
0.7500, -0.3625, -0.7123
0.7600, -0.3620, -0.7187
0.7700, -0.3615, -0.7048
0.7800, -0.3610, -0.6898
0.7900, -0.3605, -0.7032
0.8000, -0.3600, -0.7254
0.8100, -0.3595, -0.6951
0.8200, -0.3590, -0.6896
0.8300, -0.3585, -0.6905
0.8400, -0.3580, -0.6976
0.8500, -0.3575, -0.6886
0.8600, -0.3570, -0.6956
0.8700, -0.3565, -0.7047
0.8800, -0.3560, -0.6906
0.8900, -0.3555, -0.7097
0.9000, -0.3550, -0.7074
0.9100, -0.3545, -0.6627
0.9200, -0.3540, -0.6851
0.9300, -0.3535, -0.6787
0.9400, -0.3530, -0.6669
0.9500, -0.3525, -0.6814
0.9600, -0.3520, -0.6646
0.9700, -0.3515, -0.6925
0.9800, -0.3510, -0.6747
0.9900, -0.3505, -0.6834
1.000, -0.3500, -0.6756
1.010, -0.3495, -0.6714
1.020, -0.3490, -0.6484
1.030, -0.3485, -0.6412
1.040, -0.3480, -0.6482
1.050, -0.3475, -0.6327
1.060, -0.3470, -0.6452
1.070, -0.3465, -0.6347
1.080, -0.3460, -0.6006
1.090, -0.3455, -0.6075
1.100, -0.3450, -0.5703
1.110, -0.3445, -0.5347
1.120, -0.3440, -0.5244
1.130, -0.3435, -0.5497
1.140, -0.3430, -0.5155
1.150, -0.3425, -0.4985
1.160, -0.3420, -0.4944
1.170, -0.3415, -0.4892
1.180, -0.3410, -0.4836
1.190, -0.3405, -0.4943
1.200, -0.3400, -0.4966
1.210, -0.3395, -0.4782
1.220, -0.3390, -0.4808
1.230, -0.3385, -0.4884
1.240, -0.3380, -0.5061
1.250, -0.3375, -0.4891
1.260, -0.3370, -0.5046
1.270, -0.3365, -0.5020
1.280, -0.3360, -0.4869
1.290, -0.3355, -0.5026
1.300, -0.3350, -0.4943
1.310, -0.3345, -0.5012
1.320, -0.3340, -0.4865
1.330, -0.3335, -0.4915
1.340, -0.3330, -0.5043
1.350, -0.3325, -0.4746
1.360, -0.3320, -0.5100
1.370, -0.3315, -0.5195
1.380, -0.3310, -0.5039
1.390, -0.3305, -0.5047
1.400, -0.3300, -0.5161
1.410, -0.3295, -0.4837
1.420, -0.3290, -0.4994
1.430, -0.3285, -0.4872
1.440, -0.3280, -0.4997
1.450, -0.3275, -0.5225
1.460, -0.3270, -0.5039
1.470, -0.3265, -0.5373
1.480, -0.3260, -0.4912
